username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MALPENSANTE666;2016/01/01 12:10;1;4;"@Mediarse Metamorfosis completa d @EnriquePenalosa. @EnriquePocacosa #BogotaMejorParaTodos los contratistas.pic.twitter.com/yCX0Jsit1r";;@Mediarse @EnriquePenalosa @EnriquePocacosa;#BogotaMejorParaTodos;"682972095689654273";https://twitter.com/MALPENSANTE666/status/682972095689654273
papelysignos;2016/01/01 12:10;0;0;"Reducir y optimizar gastos de funcionamiento de #Bogota será prioritario para alcalde @EnriquePenalosa";;@EnriquePenalosa;#Bogota;"682972093068242944";https://twitter.com/papelysignos/status/682972093068242944
Bogota;2016/01/01 12:10;24;23;"“No habrá milagros. Pero estamos preparados para enfrentar los retos que tenemos”: @EnriquePenalosa #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682972077595443201";https://twitter.com/Bogota/status/682972077595443201
rzneas;2016/01/01 12:10;3;1;"Ladrillazo para Petro ... “Venimos de una década de despreocupación total por los gastos de las entidades y programas.”: @EnriquePenalosa";;@EnriquePenalosa;;"682972074353266690";https://twitter.com/rzneas/status/682972074353266690
eltecnofilo;2016/01/01 12:10;2;0;"Tengo fé que este es el primer paso para cambiar a Bogotá... No va a ser fácil ni inmediato @EnriquePenalosa https://twitter.com/RedMasNoticias/status/682970471575498752 …";Montréal, Québec;@EnriquePenalosa;;"682972069802414080";https://twitter.com/eltecnofilo/status/682972069802414080
Diegosilopez;2016/01/01 12:10;0;0;"@EnriquePenalosa agradece a politiqueros como Vargas Lleras,Martha Lucia Ramírez, y bancada de CR, pero en Campaña dice que no es "político"";;@EnriquePenalosa;;"682972062818922496";https://twitter.com/Diegosilopez/status/682972062818922496
Dicarop_;2016/01/01 12:10;2;6;"No todo los cambios en Bogotá radican en el nuevo alcalde @EnriquePenalosa también dependen de la urbanidad y educación de sus habitantes!!";;@EnriquePenalosa;;"682972055445307392";https://twitter.com/Dicarop_/status/682972055445307392
VargasSilvaMV;2016/01/01 12:09;5;3;"Los mejores deseos de éxito y buen gobierno xa @EnriquePenalosa y equipo; Bogotá lo necesita y la ciudadanía lo reclama. @concejodebogota";;@EnriquePenalosa @concejodebogota;;"682972044095524864";https://twitter.com/VargasSilvaMV/status/682972044095524864
LEITOABERNAL;2016/01/01 12:09;0;0;"Que discurso tan demagogo y mas politiquería barata de un tipo que es el responsable del fracaso del trasmilleno @EnriquePenalosa";;@EnriquePenalosa;;"682972037946716160";https://twitter.com/LEITOABERNAL/status/682972037946716160
LucevinGomez;2016/01/01 12:09;0;0;"Primer anuncio de @EnriquePenalosa : reducirá gastos innecesarios en Distrito que en últimos años multiplicó la contratación de personal.";;@EnriquePenalosa;;"682972036453527552";https://twitter.com/LucevinGomez/status/682972036453527552
iFosforito;2016/01/01 12:09;0;1;"¡Bienvenido de vuelta, @EnriquePenalosa! ¡Ni te imaginas todo lo que pasó mientras no estabas!";;@EnriquePenalosa;;"682972024860454912";https://twitter.com/iFosforito/status/682972024860454912
leomulett;2016/01/01 12:09;0;0;"Ya comenzó mal @EnriquePenalosa creando problemas donde no los hay. mucho ojo";Corozal, Colombia;@EnriquePenalosa;;"682972005956743169";https://twitter.com/leomulett/status/682972005956743169
FidelVelandia1;2016/01/01 12:09;0;0;"@EnriquePenalosa Alcalde yo se que usted va a recapacitar y va dar inicio a la construcción del metro subterráneo que nos merecemos!";;@EnriquePenalosa;;"682971998239207424";https://twitter.com/FidelVelandia1/status/682971998239207424
csanabria;2016/01/01 12:09;1;2;"#BogotáMejorParaTodos significa que todos debemos aportar! Éxitos señor alcalde @EnriquePenalosa";Bogotá, D.C., Colombia;@EnriquePenalosa;#Bogot;"682971997115166720";https://twitter.com/csanabria/status/682971997115166720
schmidtpil;2016/01/01 12:09;7;10;"Mamertos a sufrir porque llega @EnriquePenalosa a meterlos en cintura.Se les acaban los subsidios. A trabajar";;@EnriquePenalosa;;"682971964936470532";https://twitter.com/schmidtpil/status/682971964936470532
Educacionbogota;2016/01/01 12:09;7;7;". @EnriquePenalosa nuestro gobierno será de un equipo técnico que trabajará sin distingo. #BogotaMejorParaTodospic.twitter.com/mNgTpKMTZQ";;@EnriquePenalosa;#BogotaMejorParaTodospic;"682971943822323712";https://twitter.com/Educacionbogota/status/682971943822323712
nnataquintero;2016/01/01 12:09;0;1;"#BogotaMejorParaTodos @EnriquePenalosa donde empezará a reducir gastos?En cultura? Será que @CulturaenBta será la primera afectada #SinDuda";Bogotá, D.C., Colombia;@EnriquePenalosa @CulturaenBta;#BogotaMejorParaTodos #SinDuda;"682971943017013249";https://twitter.com/nnataquintero/status/682971943017013249
carautentica;2016/01/01 12:09;0;0;"" @Capitalsalud esta generando perdidas": @EnriquePenalosa pic.twitter.com/FSd64XbOpW";;@Capitalsalud @EnriquePenalosa;;"682971941708427265";https://twitter.com/carautentica/status/682971941708427265
juansedg;2016/01/01 12:09;0;0;"Muy significativo que @German_Vargas esté en la posesión de @EnriquePenalosa. ¿Será que en la tarde también va para la de @AlejandroChar?";;@German_Vargas @EnriquePenalosa @AlejandroChar;;"682971937895792640";https://twitter.com/juansedg/status/682971937895792640
AlcaldiaBogota;2016/01/01 12:09;3;4;"@EnriquePenalosa habla sobre la austeridad en gasto público #BogotaMejorParaTodospic.twitter.com/oZldbKEilw";;@EnriquePenalosa;#BogotaMejorParaTodospic;"682971930773839874";https://twitter.com/AlcaldiaBogota/status/682971930773839874
BogotaET;2016/01/01 12:09;3;3;"Gasto público, fallas en @SITPBTA, pérdidas de Capital Salud, colados e inseguridad serán prioridades de @EnriquePenalosa #PosesiónPeñalosa";;@SITPBTA @EnriquePenalosa;#Posesi;"682971920149692416";https://twitter.com/BogotaET/status/682971920149692416
COBIMOTI;2016/01/01 12:09;1;0;"Los que creen que mañana no habrá trancones porque el alcalde es @EnriquePenalosa están más que equivocados.....";Bogotá, D.C., Colombia;@EnriquePenalosa;;"682971918916440064";https://twitter.com/COBIMOTI/status/682971918916440064
luciabastidasu;2016/01/01 12:09;3;1;"El espacio público debe servir como lugar de integración de todos @EnriquePenalosa";;@EnriquePenalosa;;"682971918706831360";https://twitter.com/luciabastidasu/status/682971918706831360
Bogota;2016/01/01 12:09;8;9;"“Tenemos un Sistema Integrado de Transporte desbarajustado, que exige subsidios billonarios” @EnriquePenalosa #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682971909303177218";https://twitter.com/Bogota/status/682971909303177218
Dime_Eli;2016/01/01 12:09;0;1;"Señor @EnriquePenalosa podría por favor poner la Carrera 11 en un solo sentido otra vez ???? Es prioritario ! cc @luciabastidasu";;@EnriquePenalosa @luciabastidasu;;"682971895323607041";https://twitter.com/Dime_Eli/status/682971895323607041
jamesarbelaez21;2016/01/01 12:09;3;2;"@BogotaMejorTodo @EnriquePenalosa Invito a todos a exigir mucho a Peña; recuerden que ha tenido ciertas tendencias Comunistas";;@BogotaMejorTodo @EnriquePenalosa;;"682971887815753728";https://twitter.com/jamesarbelaez21/status/682971887815753728
CABLENOTICIAS;2016/01/01 12:09;5;2;"#ENVIVO: "El espacio público es desordenado" @EnriquePenalosa por http://cablenoticias.tv ";;@EnriquePenalosa;#ENVIVO;"682971882627416064";https://twitter.com/CABLENOTICIAS/status/682971882627416064
NoticiasRCN;2016/01/01 12:09;17;8;""Es necesario señalar que nuestra ciudad enfrenta enormes problemas": @EnriquePenalosa. http://bit.ly/12L5yRG ";;@EnriquePenalosa;;"682971865292378113";https://twitter.com/NoticiasRCN/status/682971865292378113
BogotaMejorTodo;2016/01/01 12:09;2;3;"“Aunque hay programas valiosos, también hay muchísimos gastos de muy discutible impacto.” @EnriquePenalosa #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682971853674143744";https://twitter.com/BogotaMejorTodo/status/682971853674143744
isamg6;2016/01/01 12:09;4;2;"@petrogustavo no fue a la posesión de @EnriquePenalosa porque no le dieron tarima para su show demagago? #ChaoPetro";;@petrogustavo @EnriquePenalosa;#ChaoPetro;"682971851031732224";https://twitter.com/isamg6/status/682971851031732224
gaboyoyo11;2016/01/01 12:09;2;10;"#BogotáMejorParaTodos el día es hoy, el reto es enorme. @EnriquePenalosa , alcalde. pic.twitter.com/8Dy0hw0PuH";;@EnriquePenalosa;#Bogot;"682971828655124481";https://twitter.com/gaboyoyo11/status/682971828655124481
r_Montenegro;2016/01/01 12:09;1;7;"Bajo inclemente sol sabanero se realiza posesión de @EnriquePenalosa Alcalde Mayor #BogotaMejorParaTodospic.twitter.com/lfPCCFNo64";;@EnriquePenalosa;#BogotaMejorParaTodospic;"682971824880226304";https://twitter.com/r_Montenegro/status/682971824880226304
NattiRueda;2016/01/01 12:09;4;3;""Tenemos un Sitp mal implementado, desbarajustado. El costo para arreglarlo será enorme", @EnriquePenalosa en posesión como Alcalde";;@EnriquePenalosa;;"682971817447976960";https://twitter.com/NattiRueda/status/682971817447976960
sanpalqui;2016/01/01 12:09;10;17;"Bogotá a respirar después de la arrogancia. Por el bien de TODOS los Bogotanos, @EnriquePenalosa VAMOS PA' LANTE. #BogotáMejorParaTodos";La Dorada, Colombia;@EnriquePenalosa;#Bogot;"682971816994930688";https://twitter.com/sanpalqui/status/682971816994930688
luciabastidasu;2016/01/01 12:09;2;2;"Ineficiencia de la EAAB la pagan los usuarios @EnriquePenalosa";;@EnriquePenalosa;;"682971799655682048";https://twitter.com/luciabastidasu/status/682971799655682048
Bogota;2016/01/01 12:08;11;5;"“Aunque hay programas valiosos, también hay muchísimos gastos de muy discutible impacto.” @EnriquePenalosa #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682971793032888320";https://twitter.com/Bogota/status/682971793032888320
c24juanfe;2016/01/01 12:08;0;1;"Promételes crecimiento de glúteos, @EnriquePenalosa";;@EnriquePenalosa;;"682971766596222983";https://twitter.com/c24juanfe/status/682971766596222983
Diego_Molano;2016/01/01 12:08;6;16;"Trabajaremos en equipo con los concejales y ediles @EnriquePenalosa #BogotaMejorParaTodospic.twitter.com/gZHrYVBA2I";;@EnriquePenalosa;#BogotaMejorParaTodospic;"682971766352908288";https://twitter.com/Diego_Molano/status/682971766352908288
AgenciaRSinFron;2016/01/01 12:08;0;0;"Bogotá lleva una década de despreocupación del gasto público, la nómina es exagerada. Tendremos que reducir gastos. @EnriquePenalosa";;@EnriquePenalosa;;"682971754021666818";https://twitter.com/AgenciaRSinFron/status/682971754021666818
CHRISTIAN_RUU;2016/01/01 12:08;0;1;"@EnriquePenalosa: "trabajaremos con los concejales, ediles y alcaldes locales" #BogotáMejorParaTodos @MiguelUribeT @Gobiernoaldia";Bogotá, D.C., Colombia;@EnriquePenalosa @MiguelUribeT @Gobiernoaldia;#Bogot;"682971748824936448";https://twitter.com/CHRISTIAN_RUU/status/682971748824936448
erica_ele;2016/01/01 12:08;0;0;"@BogotaMejorTodo @EnriquePenalosa Que responsabilidad tan grande alcalde, la de no defraudar todas nuestras esperanzas";;@BogotaMejorTodo @EnriquePenalosa;;"682971743426854912";https://twitter.com/erica_ele/status/682971743426854912
ValeAyala2012;2016/01/01 12:08;0;0;"Ya demostró @EnriquePenalosa que lo de él no es ni el discurso ni las plazas públicas era mejor un hotel y evitar semejante vergüenza.";;@EnriquePenalosa;;"682971735944212481";https://twitter.com/ValeAyala2012/status/682971735944212481
zambranustra;2016/01/01 12:08;0;0;"Yo sí tengo que decirle a @EnriquePenalosa que no puedo estar tranquilo si su "equipo técnico" se parece al que decidió por relleno fluido";;@EnriquePenalosa;;"682971722111430656";https://twitter.com/zambranustra/status/682971722111430656
Eutropeliando;2016/01/01 12:08;0;0;"El alcalde @EnriquePenalosa promete recortar costos para traspasar esa platica a grandes tercerizadores.";;@EnriquePenalosa;;"682971704646352896";https://twitter.com/Eutropeliando/status/682971704646352896
luciabastidasu;2016/01/01 12:08;1;3;"Mal implementado el sistema de transporte en la ciudad;barrios sin rutas; vamos a dignificarlo @EnriquePenalosa";;@EnriquePenalosa;;"682971690188550144";https://twitter.com/luciabastidasu/status/682971690188550144
diarionocturno;2016/01/01 12:08;0;0;"Empezaron los vainazos. @EnriquePenalosa habla sobre despilfarro y mala implementación del sistema de transporte. #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682971680055123968";https://twitter.com/diarionocturno/status/682971680055123968
MafeMartinezA;2016/01/01 12:08;0;0;"La campaña se acabó alcalde @EnriquePenalosa, que su discurso invite a hacer, ¡a construir que es lo que queremos! #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682971668172648448";https://twitter.com/MafeMartinezA/status/682971668172648448
lopezjosedaniel;2016/01/01 12:08;1;4;"Bogotá no puede estar en mejores manos. Ya volvieron los buenos tiempos. #BogotaMejorParaTodos @EnriquePenalosa @lunadavid @vegayef";;@EnriquePenalosa @lunadavid @vegayef;#BogotaMejorParaTodos;"682971659872124928";https://twitter.com/lopezjosedaniel/status/682971659872124928
Educacionbogota;2016/01/01 12:08;8;8;". @EnriquePenalosa Vamos a atender las necesidades de todos los ciudadanos. #BogotaMejorParaTodospic.twitter.com/V5Pt1o1C44";;@EnriquePenalosa;#BogotaMejorParaTodospic;"682971656181166080";https://twitter.com/Educacionbogota/status/682971656181166080
NoticiasRCN;2016/01/01 12:08;95;97;""Vamos a gobernar sin mezquindades": @EnriquePenalosa, alcalde de Bogotá. http://bit.ly/12L5yRG pic.twitter.com/5qSbNQt3e9";;@EnriquePenalosa;;"682971652884422658";https://twitter.com/NoticiasRCN/status/682971652884422658
BogotaMejorTodo;2016/01/01 12:08;4;4;"“Venimos de más de una década de despreocupación total por los gastos de las entidades y programas.”: @EnriquePenalosa #BogotáMejorParaTodos";;@EnriquePenalosa;#Bogot;"682971645594701828";https://twitter.com/BogotaMejorTodo/status/682971645594701828
DarioAngelR;2016/01/01 12:08;0;1;""Cada peso de impuestos será bien invertido", @EnriquePenalosa .";Bogotá, D.C., Colombia;@EnriquePenalosa;;"682971637772324864";https://twitter.com/DarioAngelR/status/682971637772324864
